Date,Rating,Feedback
2023-08-26,2,Poor superb superb loved good excellent very mediocre excellent excellent back superb price
2023-06-30,3,Satisfied good worth horrible not superb satisfied horrible highly satisfied not great disappointed horrible good poor worth recommend horrible
2023-07-22,3,Loved service average not terrible recommend exceeded loved loved very expectations job worth great
2024-06-03,1,Highly poor average exceeded excellent improve recommend disappointed come recommend expectations service improve superb not highly
2024-03-13,2,Good good come very terrible horrible come terrible loved terrible satisfied exceeded great recommend disappointed disappointed good good
2024-05-25,2,Mediocre terrible come fantastic fantastic expectations highly superb worth service satisfied back service excellent highly poor great
2023-12-28,2,Disappointed come average satisfied average superb exceeded improve average good loved horrible excellent poor back average job
2024-06-06,2,Average service very average good average highly poor improve superb superb improve highly price
2024-03-05,4,Job fantastic terrible job job price average expectations average recommend very fantastic loved excellent improve experience disappointed loved
2023-10-30,4,Not come great disappointed job fantastic service good terrible back great horrible disappointed horrible great highly highly poor excellent
2024-03-04,3,Price disappointed back superb back fantastic average poor expectations loved job
2023-10-09,4,Expectations experience horrible excellent horrible back terrible exceeded terrible job not loved back highly highly improve
2023-09-29,1,Experience come recommend very great good fantastic expectations satisfied price disappointed recommend
2024-05-23,4,Expectations highly service great improve excellent expectations worth satisfied poor
2024-04-07,5,Average disappointed back satisfied service price expectations very worth superb come terrible loved very highly
2024-01-11,2,Fantastic horrible price disappointed poor disappointed average disappointed great back great disappointed satisfied service
2024-04-02,3,Job fantastic very worth exceeded average satisfied loved horrible disappointed
2023-10-29,5,Mediocre terrible good mediocre exceeded fantastic very mediocre satisfied back come excellent great price excellent fantastic very come
2024-01-27,4,Recommend good price recommend improve loved experience recommend expectations good excellent
2024-02-18,5,Price very good excellent recommend excellent expectations horrible average good recommend very good superb recommend great not very very worth
2024-05-14,5,Expectations satisfied poor terrible highly good good experience job experience improve highly
2024-05-04,5,Service good excellent satisfied service mediocre poor back good mediocre worth satisfied great recommend very service mediocre mediocre come terrible
2024-06-03,4,Highly very satisfied average satisfied good expectations improve price very average mediocre improve
2023-12-10,5,Recommend poor recommend worth satisfied back not loved great great average good superb terrible expectations mediocre back
2023-07-23,5,Price back experience back not superb good horrible service experience poor
2023-11-24,5,Come great back recommend horrible price average satisfied service not poor good horrible fantastic back service horrible not good
2024-04-19,1,Expectations poor mediocre worth highly disappointed disappointed not highly expectations improve price highly exceeded good price recommend great
2023-08-09,5,Average job job job very mediocre good job horrible average recommend highly superb loved superb price
2024-02-15,4,Price back price excellent service expectations superb horrible price come experience
